model,region,abbrevs,names,AI_mean,AI_min,AI_max
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,3,VIC,Victoria,-0.3328520472495813,-1.0,0.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,4,SA,South Australia,-0.3522485803557405,-1.0,0.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,5,TAS,Tasmania,-0.23390397136811372,-1.0,0.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,6,NT,Northern Territory,-0.12648171497750987,-1.0,1.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,7,QLDNorth,Queensland North,-0.20077292570928387,-1.0,0.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,8,QLDSouth,Queensland South,-0.12022757042368967,-2.0,1.0
GFDL-ESM2M_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,9,AUS,Australia,-0.16477047549235524,-2.0,1.0
GFDL-ESM2M__r240x120-ISIMIP2b,0,WANorth,Western Australia North,-0.03986934020873867,-1.0,1.0
GFDL-ESM2M__r240x120-ISIMIP2b,1,WASouth,Western Australia South,-0.14286865089081435,-2.0,0.0
GFDL-ESM2M__r240x120-ISIMIP2b,2,NSW,New South Wales and Australian Capital Territory,-0.18099797737961268,-1.0,0.0
GFDL-ESM2M__r240x120-ISIMIP2b,3,VIC,Victoria,-0.09621779091413456,-1.0,1.0
GFDL-ESM2M__r240x120-ISIMIP2b,4,SA,South Australia,-0.37816835994247405,-1.0,0.0
GFDL-ESM2M__r240x120-ISIMIP2b,5,TAS,Tasmania,0.009536847268913509,-1.0,1.0
GFDL-ESM2M__r240x120-ISIMIP2b,6,NT,Northern Territory,-0.045600619992438605,-1.0,1.0
GFDL-ESM2M__r240x120-ISIMIP2b,7,QLDNorth,Queensland North,-0.08241405504408474,-1.0,1.0
GFDL-ESM2M__r240x120-ISIMIP2b,8,QLDSouth,Queensland South,-0.1835665796004723,-1.0,0.0
GFDL-ESM2M__r240x120-ISIMIP2b,9,AUS,Australia,-0.14183491219586686,-2.0,1.0
GFDL-ESM2M_r240x120-MRNBC,0,WANorth,Western Australia North,-0.014169068589832032,-1.0,1.0
GFDL-ESM2M_r240x120-MRNBC,1,WASouth,Western Australia South,-0.06523527676953235,-1.0,1.0
GFDL-ESM2M_r240x120-MRNBC,2,NSW,New South Wales and Australian Capital Territory,-0.14364590032089466,-1.0,0.0
GFDL-ESM2M_r240x120-MRNBC,3,VIC,Victoria,-0.0640956710279005,-1.0,1.0
GFDL-ESM2M_r240x120-MRNBC,4,SA,South Australia,-0.32455095327403555,-1.0,0.0
GFDL-ESM2M_r240x120-MRNBC,5,TAS,Tasmania,0.016431271524785334,-1.0,1.0
GFDL-ESM2M_r240x120-MRNBC,6,NT,Northern Territory,-0.02755900104084858,-1.0,1.0
GFDL-ESM2M_r240x120-MRNBC,7,QLDNorth,Queensland North,0.014823564688821603,-1.0,1.0
GFDL-ESM2M_r240x120-MRNBC,8,QLDSouth,Queensland South,-0.07004237810401183,-1.0,1.0
GFDL-ESM2M_r240x120-MRNBC,9,AUS,Australia,-0.08465039795110305,-1.0,1.0
GFDL-ESM2M_r240x120-QME,0,WANorth,Western Australia North,0.020739229979035007,-1.0,1.0
GFDL-ESM2M_r240x120-QME,1,WASouth,Western Australia South,-0.06293526248030408,-1.0,1.0
GFDL-ESM2M_r240x120-QME,2,NSW,New South Wales and Australian Capital Territory,-0.1901827915006218,-1.0,0.0
